date,activity_type,distance_km,duration_min,calories
2025-09-28,bike,48.0,109.2,1166.7
2025-09-28,run,9.0,51.7,623.8
2025-09-29,swim,1.32,27.7,242.5
2025-09-29,bike,21.9,51.0,479.7
2025-09-29,run,7.9,48.7,509.7
2025-09-30,swim,2.55,53.6,533.5
2025-09-30,bike,44.3,93.7,979.5
2025-09-30,run,9.7,58.9,593.2
2025-10-01,swim,1.93,39.4,391.4
2025-10-01,bike,44.9,98.6,1046.1
2025-10-01,run,6.8,42.2,540.8
2025-10-02,swim,2.87,68.4,607.9
2025-10-02,bike,48.9,110.9,1091.4
2025-10-02,run,5.0,27.4,341.3
2025-10-03,swim,1.04,24.0,202.1
2025-10-03,bike,40.2,88.2,826.0
2025-10-03,run,7.0,43.8,546.6
2025-10-04,swim,2.24,50.1,427.3
2025-10-04,bike,43.7,87.9,887.2
2025-10-04,run,5.8,35.9,399.4
2025-10-05,swim,1.39,31.0,276.5
2025-10-05,bike,24.9,58.8,593.1
2025-10-05,run,11.7,65.4,913.6
2025-10-06,swim,2.1,42.6,451.2
2025-10-06,bike,33.7,80.2,680.2
2025-10-06,run,5.3,30.3,410.4
2025-10-07,swim,1.61,39.8,296.3
2025-10-07,bike,25.6,53.9,598.7
2025-10-07,run,8.4,54.8,627.5
2025-10-08,swim,2.6,54.0,570.3
2025-10-08,bike,39.7,90.9,872.6
2025-10-08,run,6.8,40.8,421.3
2025-10-09,swim,2.15,43.6,466.2
2025-10-09,bike,24.4,53.7,587.8
2025-10-09,run,9.1,51.7,717.7
2025-10-10,swim,1.46,30.2,286.9
2025-10-10,bike,56.9,122.4,1394.0
2025-10-10,run,9.5,53.1,645.5
2025-10-11,swim,2.21,54.1,472.3
2025-10-11,bike,37.3,84.3,781.8
2025-10-11,run,6.2,38.9,471.3
2025-10-12,swim,1.16,23.8,236.7
2025-10-12,bike,23.0,48.7,564.1
2025-10-12,run,6.4,35.1,506.9
2025-10-13,swim,2.64,54.6,516.7
2025-10-13,bike,54.5,128.0,1254.6
2025-10-13,run,9.7,61.9,591.7
2025-10-14,swim,2.71,59.9,515.7
2025-10-14,bike,30.5,61.9,758.2
2025-10-14,run,8.8,52.9,659.2
2025-10-15,swim,1.96,39.5,382.5
2025-10-15,bike,46.2,107.3,1052.7
2025-10-15,run,4.3,25.7,305.7
2025-10-16,swim,1.09,25.9,236.6
2025-10-16,bike,57.0,124.0,1319.8
2025-10-16,run,4.6,25.7,294.5
2025-10-17,swim,1.29,27.7,250.6
2025-10-17,bike,44.1,91.7,1065.5
2025-10-17,run,5.0,32.1,355.2
2025-10-18,swim,2.8,56.4,532.5
2025-10-18,bike,52.3,115.5,1105.0
2025-10-18,run,8.2,48.0,574.2
2025-10-19,swim,1.67,37.1,361.8
2025-10-19,bike,48.5,108.2,1097.0
2025-10-19,run,6.6,38.4,408.2
2025-10-20,swim,2.36,48.3,474.8
2025-10-20,bike,25.4,57.7,587.3
2025-10-20,run,9.4,59.6,569.8
2025-10-21,swim,1.47,32.2,310.6
2025-10-21,bike,29.8,60.7,726.8
2025-10-21,run,8.4,50.2,670.0
2025-10-22,swim,1.81,43.0,331.0
2025-10-22,bike,59.2,130.4,1358.0
2025-10-22,run,6.3,38.4,480.5
2025-10-23,swim,1.63,39.3,305.3
2025-10-23,bike,24.5,51.3,612.3
2025-10-23,run,4.1,26.2,317.8
2025-10-24,swim,1.05,21.2,205.6
2025-10-24,bike,39.4,87.9,939.9
2025-10-24,run,9.2,55.6,693.3
2025-10-25,swim,1.53,31.2,282.8
2025-10-25,bike,45.4,108.6,915.6
2025-10-25,run,10.0,62.9,686.6
2025-10-26,swim,1.55,34.4,338.1
2025-10-26,bike,24.1,53.4,563.4
2025-10-26,run,11.5,74.3,898.3
2025-10-27,swim,2.67,56.5,572.1
2025-10-27,bike,49.8,114.0,1142.3
2025-10-27,run,4.5,29.9,299.6
2025-10-28,swim,2.62,61.2,564.2
2025-10-28,bike,55.2,117.8,1217.1
2025-10-28,run,10.5,65.9,811.3
2025-10-29,swim,2.86,66.1,566.6
2025-10-29,bike,35.1,80.5,785.9
2025-10-29,run,6.9,45.8,469.6
2025-10-30,swim,2.57,55.2,558.3
2025-10-30,bike,48.5,101.0,1068.3
2025-10-30,run,10.3,62.9,811.1
